ID,project_name, github, classes, total_sloc
classes ,glide,https://github.com/bumptech/glide,671,101862
classes ,go-lang-idea-plugin,https://github.com/go-lang-plugin-org/go-lang-idea-plugin,828,78485
classes ,gradle,https://github.com/gradle/gradle,9282,744164
classes ,grails-core,https://github.com/grails/grails-core,495,78105
classes ,graylog2-server,https://github.com/Graylog2/graylog2-server,2989,306252
classes ,greenDAO,https://github.com/greenrobot/greenDAO,245,29159
classes ,GreenDroid,https://github.com/cyrilmottier/GreenDroid,76,10761
classes ,guava,https://github.com/google/guava,3184,786031
classes ,guice,https://github.com/google/guice,605,104983
classes ,h2o,https://github.com/h2oai/h2o,624,134975
classes ,hellocharts-android,https://github.com/lecho/hellocharts-android,107,14007
classes ,hibernate-orm,https://github.com/hibernate/hibernate-orm,10145,1128482
classes ,HikariCP,https://github.com/brettwooldridge/HikariCP,99,19222
classes ,HoloEverywhere,https://github.com/Prototik/HoloEverywhere,292,69182
classes ,http-request,https://github.com/kevinsawicki/http-request,4,7276
classes ,hugo,https://github.com/JakeWharton/hugo,5,488
classes ,Hystrix,https://github.com/Netflix/Hystrix,411,78607
classes ,ice,https://github.com/Netflix/ice,55,8146
classes ,ideavim,https://github.com/JetBrains/ideavim,84,34011
classes ,InstaMaterial,https://github.com/frogermcs/InstaMaterial,25,2926
classes ,ion,https://github.com/koush/ion,127,13443
classes ,iosched,https://github.com/google/iosched,0,
classes ,jadx,https://github.com/Skylot/jadx,936,87880
classes ,JamsMusicPlayer,https://github.com/psaravan/JamsMusicPlayer,315,77386
classes ,java8-tutorial,https://github.com/winterbe/java8-tutorial,68,3653
classes ,java-design-patterns,https://github.com/iluwatar/java-design-patterns,1403,95128
classes ,javapoet,https://github.com/square/javapoet,39,12091
classes ,Java-WebSocket,https://github.com/TooTallNate/Java-WebSocket,172,25825
classes ,jedis,https://github.com/xetorthio/jedis,200,49661
classes ,JSON-java,https://github.com/douglascrockford/JSON-java,60,20312
classes ,jsoup,https://github.com/jhy/jsoup,120,30539
classes ,jstorm,https://github.com/alibaba/jstorm,1619,301538
classes ,junit,https://github.com/junit-team/junit,468,44889
classes ,kotlin,https://github.com/JetBrains/kotlin,6539,1076072
classes ,lantern,https://github.com/getlantern/lantern,55,5754
classes ,ListViewAnimations,https://github.com/nhaarman/ListViewAnimations,79,10769
classes ,lombok,https://github.com/rzwitserloot/lombok,1355,101470
classes ,MapDB,https://github.com/jankotek/MapDB,122,26648
classes ,Material,https://github.com/rey5137/Material,78,34440
classes ,MaterialDesignLibrary,https://github.com/navasmdc/MaterialDesignLibrary,30,3771
classes ,MaterialEditText,https://github.com/rengwuxian/MaterialEditText,12,4839
classes ,Material-Movies,https://github.com/saulmm/Material-Movies,61,4632
classes ,mockito,https://github.com/mockito/mockito,941,88550
classes ,moshi,https://github.com/square/moshi,89,22906
classes ,MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,223,42937
classes ,muzei,https://github.com/romannurik/muzei,5,2915
classes ,mybatis-3,https://github.com/mybatis/mybatis-3,1235,98645
classes ,netty,https://github.com/netty/netty,2641,452027
classes ,NineOldAndroids,https://github.com/JakeWharton/NineOldAndroids,47,11398
classes ,NotRxAndroid,https://github.com/JakeWharton/NotRxAndroid,66,4314
classes ,NumberProgressBar,https://github.com/daimajia/NumberProgressBar,3,588
classes ,okhttp,https://github.com/square/okhttp,152,46429
classes ,okio,https://github.com/square/okio,51,10068
classes ,OpenRefine,https://github.com/OpenRefine/OpenRefine,1007,125790
classes ,opentsdb,https://github.com/OpenTSDB/opentsdb,394,156635
classes ,otto,https://github.com/square/otto,29,3009
classes ,parceler,https://github.com/johncarl81/parceler,181,15848
classes ,phonegap-facebook-plugin,https://github.com/Wizcorp/phonegap-facebook-plugin,176,54263
classes ,physical-web,https://github.com/google/physical-web,63,11461
classes ,picasso,https://github.com/square/picasso,33,9136
classes ,platform_frameworks_base,https://github.com/android/platform_frameworks_base,11903,4660578
classes ,presto,https://github.com/facebook/presto,6691,1056463
classes ,processing-js,https://github.com/jeresig/processing-js,0,
classes ,ProgressWheel,https://github.com/Todd-Davies/ProgressWheel,2,717
classes ,Pull-to-Refresh.Rentals-Android,https://github.com/Yalantis/Pull-to-Refresh.Rentals-Android,9,1218
classes ,pysonar2,https://github.com/yinwang0/pysonar2,112,14329
classes ,quasar,https://github.com/puniverse/quasar,545,86583
classes ,realm-java,https://github.com/Realm/realm-java,631,135194
classes ,rebound,https://github.com/facebook/rebound,37,6458
classes ,RecyclerViewAnimators,https://github.com/wasabeef/RecyclerViewAnimators,1,13
classes ,retrofit,https://github.com/square/retrofit,283,36610
classes ,retrolambda,https://github.com/orfjackal/retrolambda,80,6904
classes ,RippleEffect,https://github.com/traex/RippleEffect,7,855
classes ,roboguice,https://github.com/roboguice/roboguice,697,94860
classes ,robospice,https://github.com/stephanenicolas/robospice,261,23671
classes ,RoundedImageView,https://github.com/vinc3m1/RoundedImageView,8,1913
classes ,RxAndroid,https://github.com/ReactiveX/RxAndroid,11,1842
classes ,rx-android-architecture,https://github.com/tehmou/rx-android-architecture,136,12034
classes ,RxJava,https://github.com/Netflix/RxJava,1862,466305
classes ,scalpel,https://github.com/JakeWharton/scalpel,4,726
classes ,scribe-java,https://github.com/fernandezpablo85/scribe-java,292,20173
classes ,ShowcaseView,https://github.com/amlcurran/ShowcaseView,39,3511
classes ,Side-Menu.Android,https://github.com/Yalantis/Side-Menu.Android,9,599
classes ,SlidingMenu,https://github.com/jfeinstein10/SlidingMenu,33,4932
classes ,SmoothProgressBar,https://github.com/castorflex/SmoothProgressBar,19,2659
classes ,spark,https://github.com/perwendel/spark,183,21091
classes ,spring-mvc-showcase,https://github.com/spring-projects/spring-mvc-showcase,58,2905
classes ,springside4,https://github.com/springside/springside4,200,22244
classes ,sqlbrite,https://github.com/square/sqlbrite,32,5226
classes ,StickyListHeaders,https://github.com/emilsjolander/StickyListHeaders,15,2780
classes ,storio,https://github.com/pushtorefresh/storio,527,56735
classes ,storm,https://github.com/nathanmarz/storm,449,67422
classes ,SuperRecyclerView,https://github.com/Malinskiy/SuperRecyclerView,23,3332
classes ,Supertoasts,https://github.com/JohnPersano/Supertoasts,20,4792
classes ,swagger-codegen,https://github.com/wordnik/swagger-codegen,3249,424554
classes ,SwipeBackLayout,https://github.com/ikew0ng/SwipeBackLayout,10,2772
classes ,SystemBarTint,https://github.com/jgilfelt/SystemBarTint,6,1192
classes ,TextSecure,https://github.com/WhisperSystems/TextSecure,1911,253760
classes ,timber,https://github.com/JakeWharton/timber,7,1014
classes ,titan,https://github.com/thinkaurelius/titan,904,107792
classes ,twitter4j,https://github.com/yusuke/twitter4j,413,55562
classes ,twoway-view,https://github.com/lucasr/twoway-view,18,4642
classes ,UltimateAndroid,https://github.com/cymcsg/UltimateAndroid,2962,410282
classes ,vert.x,https://github.com/eclipse/vert.x,833,174943
classes ,ViewPagerIndicator,https://github.com/JakeWharton/ViewPagerIndicator,42,4059
classes ,voldemort,https://github.com/voldemort/voldemort,997,243389
classes ,webmagic,https://github.com/code4craft/webmagic,230,17760
classes ,weiciyuan,https://github.com/qii/weiciyuan,519,78936
classes ,wildfly,https://github.com/wildfly/wildfly,9675,1018399
classes ,yuicompressor,https://github.com/yui/yuicompressor,12,7948
classes ,zxing,https://github.com/zxing/zxing,499,67646
