project_name, github, classes, total_sloc
HikariCP,https://github.com/brettwooldridge/HikariCP,99,19222
HoloEverywhere,https://github.com/Prototik/HoloEverywhere,292,69182
http-request,https://github.com/kevinsawicki/http-request,4,7276
hugo,https://github.com/JakeWharton/hugo,5,488
Hystrix,https://github.com/Netflix/Hystrix,411,78607
ice,https://github.com/Netflix/ice,55,8146
ideavim,https://github.com/JetBrains/ideavim,84,34011
InstaMaterial,https://github.com/frogermcs/InstaMaterial,25,2926
ion,https://github.com/koush/ion,127,13443
iosched,https://github.com/google/iosched,0,
jadx,https://github.com/Skylot/jadx,936,87880
JamsMusicPlayer,https://github.com/psaravan/JamsMusicPlayer,315,77386
java8-tutorial,https://github.com/winterbe/java8-tutorial,68,3653
java-design-patterns,https://github.com/iluwatar/java-design-patterns,1403,95128
javapoet,https://github.com/square/javapoet,39,12091
Java-WebSocket,https://github.com/TooTallNate/Java-WebSocket,172,25825
jedis,https://github.com/xetorthio/jedis,200,49661
JSON-java,https://github.com/douglascrockford/JSON-java,60,20312
jsoup,https://github.com/jhy/jsoup,120,30539
jstorm,https://github.com/alibaba/jstorm,1619,301538
junit,https://github.com/junit-team/junit,468,44889
kotlin,https://github.com/JetBrains/kotlin,6539,1076072
lantern,https://github.com/getlantern/lantern,55,5754
ListViewAnimations,https://github.com/nhaarman/ListViewAnimations,79,10769
lombok,https://github.com/rzwitserloot/lombok,1355,101470
MapDB,https://github.com/jankotek/MapDB,122,26648
Material,https://github.com/rey5137/Material,78,34440
MaterialDesignLibrary,https://github.com/navasmdc/MaterialDesignLibrary,30,3771
MaterialEditText,https://github.com/rengwuxian/MaterialEditText,12,4839
Material-Movies,https://github.com/saulmm/Material-Movies,61,4632
mockito,https://github.com/mockito/mockito,941,88550
moshi,https://github.com/square/moshi,89,22906
MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,223,42937
muzei,https://github.com/romannurik/muzei,5,2915
mybatis-3,https://github.com/mybatis/mybatis-3,1235,98645
netty,https://github.com/netty/netty,2641,452027
NineOldAndroids,https://github.com/JakeWharton/NineOldAndroids,47,11398
NotRxAndroid,https://github.com/JakeWharton/NotRxAndroid,66,4314
NumberProgressBar,https://github.com/daimajia/NumberProgressBar,3,588
okhttp,https://github.com/square/okhttp,152,46429
okio,https://github.com/square/okio,51,10068
OpenRefine,https://github.com/OpenRefine/OpenRefine,1007,125790
opentsdb,https://github.com/OpenTSDB/opentsdb,394,156635
otto,https://github.com/square/otto,29,3009
parceler,https://github.com/johncarl81/parceler,181,15848
phonegap-facebook-plugin,https://github.com/Wizcorp/phonegap-facebook-plugin,176,54263
physical-web,https://github.com/google/physical-web,63,11461
picasso,https://github.com/square/picasso,33,9136
platform_frameworks_base,https://github.com/android/platform_frameworks_base,11903,4660578
presto,https://github.com/facebook/presto,6691,1056463
processing-js,https://github.com/jeresig/processing-js,0,
ProgressWheel,https://github.com/Todd-Davies/ProgressWheel,2,717
